neg,neu,pos,compound,headline,time,label
0.276,0.394,0.331,0.1779,"Sam Bankman-Fried, Bitcoin's &amp; Freedom's greatest enemy",1665402834,1
0.0,1.0,0.0,0.0,Samourai - Stonewall Query,1666034329,0
0.0,1.0,0.0,0.0,"Science, Health and Bitcoin with Sam Abbassi — What Bitcoin Did",1666173982,0
0.0,1.0,0.0,0.0,Samourai wallet - all remaining balance disappeared/spend on fees?,1666607582,0
0.0,1.0,0.0,0.0,Sam (Swan Bitcoin) on potential Bitcoin regulation; why DCA; self-custody; and the upcoming bull market,1666965673,0
0.0,0.718,0.282,0.6249,CryptoSlate Wrapped Daily: Vitalik deems crypto better than gold; SBF hints at creating FTX-backed stablecoin,1666908657,1
0.0,1.0,0.0,0.0,First McDonald’s in El Salvador. Now McDonald’s in Lugano. Which McD’s will we bring #Bitcoin to next Paolo Ardoino? 🇸🇻🇨🇭🍊🍔 - Samson Mow,1666961842,0
0.056,0.648,0.296,0.8779,"IMF and CCP, Same Fight to Create a Society of Mass Surveillance. Bitcoin Is More Necessary Than Ever. The IMF praises the merits of Chinese social credit which could be implemented in the West thanks to CBDCs.",1666814123,1
0.0,1.0,0.0,0.0,My chinese food tonight had a fortune cookie that was made by FTX,1667011517,0
0.0,1.0,0.0,0.0,My Chinese food had a fortune cookie that was made by FTX,1667011696,0
0.204,0.592,0.204,0.0,"FTX just quietly updated their staking/earn program rewards, for the worse.",1667300100,0
0.0,1.0,0.0,0.0,Public Service Announcement: get your money out of FTX immediately.,1667742879,0
0.191,0.809,0.0,-0.4278,What's going on with all the FUD about FTX? This video explains it.,1667839605,-1
0.0,1.0,0.0,0.0,"PSA: Bitcoin withdrawals are being ""staggered"" on FTX. Not Your Keys, Not Your Bitcoin.",1667785471,0
0.0,1.0,0.0,0.0,Get your bitcoin off FTX asap! It appears to be insolvent and there's this whiff of another dying shitcoin in the air...,1667783189,0
0.0,1.0,0.0,0.0,FTX'ed: The Tangled Ties Of Celsius Network and Sam Bankman-Fried,1667836676,0
0.176,0.824,0.0,-0.5399,If FTX stopping withdrawals isn’t enough proof that you need to get your btc off exchanges asap then you deserve to loose it.!!,1667932732,-1
0.0,1.0,0.0,0.0,FTX Exchange Halts All Crypto Withdrawals,1667979413,0
0.145,0.763,0.092,-0.264,WHAT IS HAPPENING TO BITCOIN AND CRYPTOS? WHY THEY ARE CRUSHING? URGENT VIDEO ON FTX BINANCE 8 NOVEM,1667944319,-1
0.237,0.763,0.0,-0.4767,"FTX BTC Wallets At 0 For Day+, Volume Unchanged. It’s All Fake.",1667917221,-1
0.188,0.812,0.0,-0.5719,"""A negative BTC balance on FTX may indicate an insolvency issue around Bitcoin holdings on the exchange.""",1667980993,-1
0.223,0.777,0.0,-0.3182,Coinbase: We lost $500m in revenue this year. SBF:,1667997749,-1
0.0,0.567,0.433,0.8555,Bitcoiners explained perfectly (Response to Bitcoin explained perfectly (Response to FTX Explained perfectly)),1668004358,1
0.0,1.0,0.0,0.0,Binance acquires FTX,1667927022,0
0.176,0.745,0.079,-0.5,"FTX bankrupt: The token native to FTX, lost most of its value on Tuesday, after rival Binance, the world’s largest cryptocurrency firm, announced plans to acquire the company.",1667980146,-1
0.0,0.769,0.231,0.128,Exclusive video of CZ vs SBF🥲,1667917207,1
0.0,1.0,0.0,0.0,Crypto giant Binance to acquire rival FTX following 'liquidity crunch',1667940076,0
0.375,0.625,0.0,-0.5574,How can exchanges (like FTX) go bankrupt?,1667947759,-1
0.433,0.567,0.0,-0.7269,"Sam strikes again, reveals his villain alter ego - Bankruptcy Man",1667999355,-1
0.0,1.0,0.0,0.0,RIP FTX,1667913960,0
0.0,1.0,0.0,0.0,"Explainer: How Binance and FTX Sent Shockwaves Through the BY Crypto World | Darkpro.net - Darkpro Carders, Darkpro Escrow, Cyber carders, Unicc carding forum, Darkweb, Darkweb Carding, Tor Carders Forum, Tor Carding Forum, Carding Forum, Carders Forum,",1667980267,0
0.0,1.0,0.0,0.0,Binance to acquire FTX,1667926562,0
0.081,0.81,0.109,0.1779,Help me unload my bag of upvotes and without doxing yourself tell me your FTX/crypto sob story. Why are you a maxi now?,1667939846,1
0.0,1.0,0.0,0.0,Binance and FTX,1667952069,0
0.091,0.909,0.0,-0.2263,"FTX appears to have stopped processing withdrawals after their shitcoin implodes, on-chain data show. Not Your Keys, Not Your Bitcoin.",1667917228,-1
0.145,0.663,0.192,0.1989,Mission: Accomplished! Despite being a shitcoiner I hope SBF still has his Corolla and beanbag.,1667947461,1
0.12,0.846,0.034,-0.6408,Hail to the King: A Brief History Of How The Empire of Binance Vanquished the Kingdom of FTX (for those looking to get a quick-ish overview of WTF just happened and where it might be going),1668002519,-1
0.0,0.707,0.293,0.6597,Binance Is Strongly Leaning Toward Scrapping FTX Rescue Takeover After First Glance at Books: Source,1668008639,1
0.0,1.0,0.0,0.0,Binance signs letter of Intent to acquire FTX,1667928423,0
0.0,1.0,0.0,0.0,Binance and FTX,1667952757,0
0.0,1.0,0.0,0.0,"Learn from Sam, Stack Sats Everyday",1667948201,0
0.216,0.784,0.0,-0.296,Now FTX has no future. Never listen to scammers.,1667928766,-1
0.0,1.0,0.0,0.0,The Commentary on bitcoin in relation to FTX...,1667918502,0
0.302,0.698,0.0,-0.3818,CZ vs SBF - Full Fight 🥊 Highlights 📽️🍿,1667950480,-1
0.16,0.728,0.112,-0.25,"Huge shout out to FTX and the panic seller crew. I just picked up another .25 BTC @ 18,000",1667968825,-1
0.0,1.0,0.0,0.0,Crypto giant Binance acquires rival FTX,1667988452,0
0.0,0.323,0.677,0.6369,FTX explained perfectly.,1667965740,1
0.0,0.625,0.375,0.6369,Bitcoin explained perfectly (Response to FTX Explained perfectly),1667996301,1
0.381,0.619,0.0,-0.5719,CFTC member joins FTX ; signs of a scam,1667942418,-1
0.0,1.0,0.0,0.0,Shitcoinery Drama (FTX) - Bitcoin Unaffected,1667947040,0
0.09,0.842,0.068,-0.1943,FTX mostly trades Bitcoin IOUs (future contracts) not real bitcoin. Coinglass shows FTX only holds about 36 real Bitcoin. The market is over reacting to the collapse of a shitcoin &amp; IOU casino.,1667938476,-1
0.0,1.0,0.0,0.0,"FTX, Celsius, 3AC downfalls are victories for self-sovereign Bitcoiners",1667926721,0
0.231,0.769,0.0,-0.4588,Crypto Exchanges Scramble to Compile 'Proof-of-Reserves' as FTX Contagion Grips Markets,1667996041,-1
0.0,1.0,0.0,0.0,Binance to buy FTX. Guy breaks down the charts,1667961465,0
0.293,0.621,0.086,-0.7177,"I'm out! Got my BTC out of Coinbase and onto cold storage. If they stopped withdrawals like FTX, I'd be mad sad.",1668031636,-1
0.0,0.82,0.18,0.0258,Binance backing out of FTX deal,1668013229,1
0.369,0.631,0.0,-0.7059,Why is BTC beaten over the FTX screwup? I don’t get the connection?,1668033251,-1
0.0,0.758,0.242,0.4939,FTX CEO and crypto tycoon Sam Bankman-Fried sees $16B wealth gutted,1668010059,1
0.247,0.753,0.0,-0.8697,So the question a made a week ago about the bull trap was right. Do you think this is a bear trap or it can really go much lower? Why the Binance and FTX thing hurt that much the price?,1668011684,-1
0.119,0.881,0.0,-0.3182,Guy breaks down SPY and updates on news Between Binance &amp; FTX. Also CPI will be critical tomorrow,1668033337,-1
0.0,1.0,0.0,0.0,CZ vs. SBF : FTX.com goes dowh,1668037915,0
0.0,0.872,0.128,0.1935,Most of FTX's Legal and Compliance Team Quit: Report (Soon Sam Bankman Jail),1668016647,1
0.0,1.0,0.0,0.0,Why are all cryptos including Bitcoin crashing? Binance vs FTX explained | Vincenzo Stefanini,1668014315,0
0.0,0.754,0.246,0.3147,Jeff Bezos - FTX takeover? Amazon to incorporate Crypto!!,1668047701,1
0.0,1.0,0.0,0.0,Bianace and FTX..,1668045089,0
0.0,1.0,0.0,0.0,Are withdrawals possible on FTX right now?,1668018305,0
0.0,1.0,0.0,0.0,"Alameda, In Eye of Crypto Storm, Takes $37M of Wrapped Bitcoin Off FTX.US Exchange",1668047679,0
0.0,0.819,0.181,0.1935,Most of FTX’s legal and compliance staff have quit,1668015384,1
0.0,1.0,0.0,0.0,CZ vs SBF : FTX.com goes down,1668038041,0
0.0,1.0,0.0,0.0,"All the buying on FTX, all the selling on other exchanges (BTC order book from coinglass)",1668042568,0
0.0,1.0,0.0,0.0,Some insights from FTX this time as a normal miner.,1668100388,0
0.0,1.0,0.0,0.0,[OC] FTX… What Happens Next? A Look Into What May Come.,1668119365,0
0.143,0.615,0.242,0.5719,"It does not take a majority to prevail... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men. - Samuel Adams",1668083898,1
0.174,0.763,0.063,-0.7236,"Serious: Is it *OUR* fault that the shit with FTX happened? What I mean to say is, ""Should we withdraw every single BTC purchase we make, on the day we make it, to prevent exchanges from playing with our BTC again?""",1668054990,-1
0.219,0.781,0.0,-0.2023,"If you lost money on FTX, I’m sorry but you deserve it.",1668080771,-1
0.3,0.7,0.0,-0.4588,exchange Binance abandoned its plans to acquire FTX.,1668098967,-1
0.0,0.9,0.1,0.4404,"FTX explodes, and meanwhile today I received a postcard from Japan. MtGox notifying me about the ""rehabilitation proceedings"" (10 years later). Funny reminders. Not your keys, not your money.",1668104546,1
0.0,1.0,0.0,0.0,🔴 DIRECT – Suivre l'affaire FTX en temps réel,1668093139,0
0.0,1.0,0.0,0.0,Even FTX states revenue in dollar so what’s the point of bitcoin?,1668133291,0
0.05,0.858,0.092,0.34,"What happened with FTX, Celsius and others seems crazy. But when you think about it ... it is not very different from what banks do: giving out money they don’t have.",1668094226,1
0.249,0.751,0.0,-0.8225,"Bitcoin is lasting, exchanges are not: FTX (run by anti bitcoin flop Sam Bankman-Fried) needs to die as do the shitcoin factories that propose to acquire and ""save"" FTX",1668094907,-1
0.252,0.748,0.0,-0.5719,Bitcoin bull Michael Saylor on FTX Binance chaos -TIME TO GROW UP,1668131864,-1
0.0,1.0,0.0,0.0,FTX using Arb to try to cover their 9.4$ billion hole?,1668112957,0
0.0,1.0,0.0,0.0,RIP FTX (2019-2022),1668057742,0
0.0,0.912,0.088,0.34,SwanBTC exchange rate has been $600-$800 above market value since yesterday. Claim it is because volatility due to FTX. Anybody else find this shady and unnecessary?,1668100944,1
0.0,0.746,0.254,0.1779,Bahama's regulator just froze FTX assets,1668120783,1
0.182,0.818,0.0,-0.6755,"My node does not care about FTX. My node does not care about price. It just runs… bear market, after bear market, after bear market… until forever!",1668066530,-1
0.0,1.0,0.0,0.0,Binance Steps Back to Acquire FTX -,1668058262,0
0.0,1.0,0.0,0.0,Options with FTX,1668079492,0
0.184,0.816,0.0,-0.4023,Just two month ago WSJ hyped SBF - why never trust the mainstream media,1668113039,-1
0.149,0.658,0.193,0.0,Sam Bankman-Fried is being investigated by the US Securities and Exchange Commission for potential violations of securities rules,1668130807,0
0.0,1.0,0.0,0.0,Sam Bankman-Fried seeks up to $8bn to bail out crypto empire,1668112065,0
0.0,0.782,0.218,0.7506,"My node doesn’t care about FTX My node doesn’t care about price It just runs… bear market after bear market, after bear market… until forever.",1668066286,1
0.0,1.0,0.0,0.0,SBF tweet update on Fcuk up,1668090746,0
0.0,1.0,0.0,0.0,Trading and FTX situation,1668085061,0
